Provincia,X1,X2,X3,X4,X5,X6,X7,X8,X9
A,59,622,588,204,67,517,201,303,881394
B,7,39,14,35,17,34,23,100,209933
U,41,229,70,71,34,136,66,116,281396
C,6,87,15,6,39,36,34,46,186869
X,47,226,95,55,61,126,70,126,488716
H,15,462,243,84,77,258,135,196,524004
O,146,1293,68,596,159,383,210,332,715751
E,151,817,59,348,38,427,112,227,591083
G,1193,10184,2496,3296,3058,1668,976,969,4387434
I,19,449,141,63,39,232,106,186,476257
L,10,205,85,17,12,252,50,161,521154
R,197,1705,118,1806,501,327,223,264,921763
M,195,821,147,532,441,519,276,391,1562079
V,6,51,23,19,3,140,34,339,185494
N,5,80,21,13,3,62,33,122,144746
S,8,88,21,6,5,97,36,128,114202
P,160,5986,3165,1261,1722,1719,1689,1094,3228233
T,21,501,350,28,72,280,131,160,590600
Z,6,27,2,2,2,42,21,67,120416
W,0,2,0,0,0,8,11,17,33042
K,40,183,31,114,17,150,56,191,230503
Q,11,150,18,88,11,204,66,126,161338
J,71,599,114,326,453,285,198,254,511151
Y,46,583,96,127,70,274,90,116,401178
