Provincia,X1_100k,X2_100k,X3_100k,X4_100k,X5_100k,X6_100k,X7_100k,X8_100k,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9
A,2.7229593,113.2297247,95.9843158,16.7915824,13.2744266,61.8338677,34.2639047,38.8021702,3400,44200,12800,12200,13500,2500,16500,24700,7700
B,4.2870821,45.7288754,9.5268490,8.5741641,5.7161094,33.8203141,10.9558764,34.7729990,1400,2900,26900,10200,31600,8300,45400,53900,25200
U,2.1322265,77.4708951,40.8676740,24.8759755,9.2396480,76.7601530,15.9916985,32.6941392,3900,30900,18700,14900,17000,3800,23900,36200,9400
C,2.6756712,41.2053364,12.3080875,2.6756712,11.2378190,26.7567119,13.9134902,19.7999668,4900,28700,12500,15800,32800,17000,22700,34400,13800
X,5.7292988,65.0684651,41.5374164,9.6170373,14.9371005,40.7189452,24.9633734,29.6695832,2800,25600,20000,8800,26000,10400,24200,53200,26400
H,2.4808971,118.7013840,57.4423096,8.0152060,14.8853826,54.0072213,20.0380150,36.8317799,1300,19300,32400,5600,43800,22700,40100,63000,41700
O,12.1550651,241.0056011,23.6115632,74.4672379,25.0086972,91.9314119,50.1571077,44.2891452,4900,47200,6800,21100,13700,3200,22200,25200,5600
E,11.3351255,141.6044786,12.3502114,36.2047293,6.5980581,93.5570808,26.2230516,38.5732630,10400,24000,8500,25800,49400,26900,58000,62100,35400
G,9.3220776,272.4371466,68.3543046,69.5623000,55.6361646,55.4082409,28.7639655,22.3821031,3100,45000,5400,21000,15700,3300,33800,33200,10100
I,5.2492667,118.2134856,32.9653947,11.9683280,4.6193547,52.9126081,23.9366560,30.4457467,6800,31600,11100,16800,33100,14500,29100,33800,14700
L,1.7269368,52.7675121,11.8966755,2.8782279,5.1808103,35.8819082,8.2509201,41.2546004,3600,26900,22000,10600,28000,8600,33500,46200,21600
R,12.0421410,200.0514232,20.1787227,115.5394608,23.8673065,57.4985110,31.6784249,23.3248677,2800,31900,7600,22500,23500,5300,47300,51100,19900
M,7.2339491,82.2621647,12.0352428,34.8894006,25.2868133,55.0548340,26.1190375,24.5186063,2300,30100,11500,17600,23600,5600,45400,46200,18900
V,5.3910100,32.3460597,11.3211209,13.4775249,0.0000000,82.4824523,21.0249388,139.0880568,1300,15700,39200,6400,61200,37000,65700,75900,59600
N,1.3817308,1.3817308,1.3817308,1.3817308,1.3817308,1.3817308,1.3817308,1.3817308,2200,18900,31800,10400,55400,38900,56000,70400,53200
S,7.8807727,82.3102923,23.6423180,3.5025656,7.8807727,126.0923627,28.8961664,88.4397821,1900,22400,31300,5800,57400,36500,61100,75600,64000
P,4.8633416,230.4046827,111.8878346,35.9639468,46.6199311,72.7642645,52.3196436,27.3524247,8000,53000,4500,16500,12800,4500,11000,11300,2300
T,2.8784287,87.8767355,54.1821876,2.8784287,10.8364375,45.0389434,23.1967491,26.7524551,2200,32900,19000,7100,23300,8000,10500,38000,12000
Z,1.6609088,23.2527239,7.4740898,2.4913633,0.0000000,59.7927186,23.2527239,56.4709009,3100,27400,22400,11400,43100,10300,34300,61000,37300
W,0.0000000,6.0529024,3.0264512,0.0000000,0.0000000,21.1851583,3.0264512,60.5290237,2100,65200,5300,11600,300,200,15000,10600,300
K,13.0150150,130.5839837,14.3165165,107.5907906,9.1105105,95.4434433,34.7067066,69.8472471,4700,27100,18500,18600,47700,22200,63000,60500,34500
Q,5.5783510,143.1776767,14.8756028,96.6914180,8.0576182,117.1453718,50.2051594,58.2627775,1800,20300,37100,8500,52300,32400,75500,73400,57600
J,5.2821965,165.5088222,25.6284347,91.9493457,70.8205599,74.9289349,44.4095776,38.3448335,2800,37200,7500,20100,18900,3800,33000,39900,13100
Y,1.9941273,145.8205585,36.6420890,29.4133776,5.4838501,92.4776533,33.1523663,23.9295275,2800,33900,6500,26400,28100,8100,36000,42000,8900
